station_name,pickup_total,dropoff_total,avg_net_demand,peak_outflow,peak_inflow,imbalance_score,recommended_action
Columbus Circle / Union Station,157528.0,158385.0,-0.038325656276552926,29.0,-45.0,74.0,保持观测
Jefferson Dr & 14th St SW,81259.0,84594.0,-0.20703998013409486,28.0,-41.0,69.0,保持观测
4th St & Madison Dr NW,81505.0,81878.0,-0.023528669652431715,27.0,-29.0,56.0,保持观测
14th & V St NW,114511.0,111699.0,0.12376760563380282,28.0,-24.0,52.0,保持观测
Lincoln Memorial,89335.0,89356.0,-0.0013028911775654548,22.0,-22.0,44.0,保持观测
New Hampshire Ave & T St NW,142356.0,140908.0,0.06390678788948716,22.0,-22.0,44.0,保持观测
M St & Delaware Ave NE,90608.0,92261.0,-0.08818822023047375,21.0,-20.0,41.0,保持观测
37th & O St NW / Georgetown University,76380.0,77548.0,-0.05980848993804086,19.0,-20.0,39.0,保持观测
14th & Irving St NW,92358.0,81876.0,0.49241320994033916,23.0,-14.0,37.0,优先补车
17th & Corcoran St NW,85296.0,84509.0,0.03813538789552745,19.0,-17.0,36.0,保持观测
5th & K St NW,116864.0,118860.0,-0.09111658906235734,19.0,-16.0,35.0,保持观测
11th & M St NW,82942.0,82332.0,0.027690771256071542,17.0,-18.0,35.0,保持观测
6th & H St NE,78623.0,79803.0,-0.05968639352554375,16.0,-18.0,34.0,保持观测
15th & W St NW,86744.0,87193.0,-0.02058783071209134,17.0,-16.0,33.0,保持观测
14th & R St NW,96054.0,95957.0,0.004538861073417248,16.0,-17.0,33.0,保持观测
