station_name,pickup_total,dropoff_total,volume_total,avg_net_demand,avg_abs_net_demand,peak_outflow,peak_inflow,morning_net,evening_net,weekend_volume,active_hours,weekend_share,pickup_dropoff_ratio,cluster_id,cluster_label
Columbus Circle / Union Station,157528.0,158385.0,315913.0,-0.038325656276552926,3.523321855015429,29.0,-45.0,-0.7615491257099414,0.5197889182058048,62104.0,22361,0.19658576886674495,0.9945891340720396,2,通勤流入型
New Hampshire Ave & T St NW,142356.0,140908.0,283264.0,0.06390678788948716,2.7109188807485216,22.0,-22.0,0.5988171948097802,-0.32562450348662725,83662.0,22658,0.2953499209218256,1.010276208590002,1,混合型
15th & P St NW,124000.0,124787.0,248787.0,-0.03542810840010804,2.3251553074637616,15.0,-16.0,0.2843252003241199,-0.30242189610155756,74379.0,22214,0.29896658587466385,0.9936932533036293,1,混合型
5th & K St NW,116864.0,118860.0,235724.0,-0.09111658906235734,2.4767643567972244,19.0,-16.0,0.41605039715146536,-0.28206883958732765,65800.0,21906,0.27914001119953846,0.9832071344438835,1,混合型
14th & V St NW,114511.0,111699.0,226210.0,0.12376760563380282,2.76875,28.0,-24.0,0.4992077464788732,-0.47847711267605636,73061.0,22720,0.3229786481587905,1.025174800132499,1,混合型
1st & M St NE,110777.0,111574.0,222351.0,-0.03786942887009408,2.107716430675663,12.0,-15.0,0.18991732395704647,-0.07355316924831322,63987.0,21046,0.2877747345413333,0.9928567587430763,1,混合型
14th & R St NW,96054.0,95957.0,192011.0,0.004538861073417248,2.298395021290534,16.0,-17.0,0.24219737026812035,-0.4373216040428618,67303.0,21371,0.35051637666592017,1.001010869451942,1,混合型
M St & Delaware Ave NE,90608.0,92261.0,182869.0,-0.08818822023047375,2.2718203158344004,21.0,-20.0,-0.1893939393939394,0.13454972257789158,55710.0,18744,0.3046443082206388,0.9820834372053197,0,景点休闲型
Adams Mill & Columbia Rd NW,93864.0,84847.0,178711.0,0.42257943574843004,2.0835598462836256,15.0,-17.0,0.2947324022869997,-0.1432655356640735,58026.0,21338,0.3246918208728058,1.106273645503082,3,通勤流出型
Lincoln Memorial,89335.0,89356.0,178691.0,-0.0013028911775654548,2.9550192331554785,22.0,-22.0,-0.1587665963519047,-0.0526119865988336,73439.0,16118,0.4109832056454998,0.999764985003805,0,景点休闲型
8th & O St NW,87126.0,87341.0,174467.0,-0.010093896713615023,2.1428638497652583,15.0,-15.0,0.30826291079812207,-0.3847887323943662,54853.0,21300,0.3144032968985539,0.9975383840349893,1,混合型
14th & Irving St NW,92358.0,81876.0,174234.0,0.49241320994033916,2.0005637243387984,23.0,-14.0,0.24348193733264434,-0.007046554234979095,49707.0,21287,0.28528874961259,1.1280228638428844,3,通勤流出型
15th & W St NW,86744.0,87193.0,173937.0,-0.02058783071209134,2.1713512769957357,17.0,-16.0,0.4841579164565088,-0.3288550598376817,52665.0,21809,0.3027820417737457,0.9948505040542245,1,混合型
17th & Corcoran St NW,85296.0,84509.0,169805.0,0.03813538789552745,2.193681252119979,19.0,-17.0,0.47424528759025053,-0.3725832243058584,51836.0,20637,0.305267807190601,1.0093126175910259,1,混合型
Jefferson Dr & 14th St SW,81259.0,84594.0,165853.0,-0.20703998013409486,2.8966352123168613,28.0,-41.0,-0.36323565929972684,0.18102806059101068,63419.0,16108,0.38238078298252065,0.9605764002175096,0,景点休闲型
4th & Florida Ave NE,82315.0,83071.0,165386.0,-0.036156678942082354,1.8531732746664116,15.0,-15.0,0.04026974030321871,-0.06437419293127361,56908.0,20909,0.344092002950673,0.9908993511574437,1,混合型
11th & M St NW,82942.0,82332.0,165274.0,0.027690771256071542,2.28580507512824,17.0,-18.0,0.6152344636615371,-0.26387943165826866,47015.0,22029,0.2844670063046819,1.0074090268668319,1,混合型
4th St & Madison Dr NW,81505.0,81878.0,163383.0,-0.023528669652431715,3.26543871822368,27.0,-29.0,-0.5843058096259383,0.5188923232195799,63310.0,15853,0.3874944149636131,0.9954444417303794,0,景点休闲型
6th & H St NE,78623.0,79803.0,158426.0,-0.05968639352554375,2.184825493171472,16.0,-18.0,0.4499747091552858,-0.2975214972180071,44439.0,19770,0.2805032002322851,0.9852135884615867,1,混合型
37th & O St NW / Georgetown University,76380.0,77548.0,153928.0,-0.05980848993804086,2.459419325106252,19.0,-20.0,-0.5464693532694966,0.37267653233652515,41647.0,19529,0.2705615612494153,0.9849383607572084,0,景点休闲型
