station_name,model,MAE,RMSE,MAPE,R2
Columbus Circle / Union Station,ridge,2.9358634040385647,4.282065452346871,101.2469693554223,0.3170668380255015
Columbus Circle / Union Station,random_forest,2.724713052981324,3.9399191293808506,94.52188261858304,0.4218424326467123
Columbus Circle / Union Station,hist_gradient_boosting,2.6733626517171363,3.8912233245101793,88.88293208638396,0.43604570032057177
Columbus Circle / Union Station,xgboost,2.7090354168389705,3.9431931031825727,89.85399798750076,0.4208811645945336
New Hampshire Ave & T St NW,ridge,2.564116733372798,3.5109832057912094,110.50442836946995,0.1710484627733473
New Hampshire Ave & T St NW,random_forest,2.4462281471036937,3.4476216435567992,110.91443823087141,0.2006981208281371
New Hampshire Ave & T St NW,hist_gradient_boosting,2.4440469424689764,3.396178924942429,107.59318753985987,0.22437327928683004
New Hampshire Ave & T St NW,xgboost,3.5427211079923686,4.6735265784270625,192.93161206167002,-0.4687946122553548
15th & P St NW,ridge,2.155619781273896,2.948102765622559,97.71974125474824,0.10498668018409651
15th & P St NW,random_forest,2.03437566153566,2.8768174196563545,94.1755139030411,0.14774636574199773
15th & P St NW,hist_gradient_boosting,1.9731824071621684,2.8011661205697647,87.2243622818467,0.19198021989343728
15th & P St NW,xgboost,1.9783410423111367,2.7954826520819998,87.02822099093149,0.19525578149609557
5th & K St NW,ridge,2.2881162324308457,3.189715803566988,94.52292116000666,0.14715357038637245
5th & K St NW,random_forest,2.087358036173138,2.943157419875622,87.8108338917722,0.2739043434954843
5th & K St NW,hist_gradient_boosting,2.0535475829606327,2.9192982671062984,82.20644545865031,0.2856290355883703
5th & K St NW,xgboost,2.0952788044049213,2.9590750909598236,84.97892353126589,0.26602912348118746
14th & V St NW,ridge,2.5854954932624117,3.5827660545081184,108.05777724931642,0.15370449257615126
14th & V St NW,random_forest,2.368593769027265,3.394604411504133,97.99620148729893,0.24026265202164376
14th & V St NW,hist_gradient_boosting,2.372262251342398,3.395206171921772,96.33895433832718,0.23999327136313264
14th & V St NW,xgboost,2.3415567826702053,3.349740322381356,93.18838395670987,0.26021177233149173
1st & M St NE,ridge,1.688158910460273,2.3786443237244064,80.94068740262121,0.1181697546301822
1st & M St NE,random_forest,1.676213421747422,2.364405277018581,84.80160266527072,0.1286957834969169
1st & M St NE,hist_gradient_boosting,1.636392568025563,2.330150186555993,79.06999213816658,0.15375950573422215
1st & M St NE,xgboost,1.6436061827717032,2.339838130820969,78.96230575936853,0.14670813739125066
14th & R St NW,ridge,2.019751131733637,2.8317262821252736,93.26197415195071,0.1298730124153572
14th & R St NW,random_forest,1.888337220196539,2.72122315053158,89.54371611294835,0.19645831842360073
14th & R St NW,hist_gradient_boosting,1.8439387369303986,2.662165893804228,84.15044390680652,0.2309575269353472
14th & R St NW,xgboost,1.8617249072242243,2.677451221623053,84.75833299359405,0.2221009689721507
M St & Delaware Ave NE,ridge,1.8178138309469989,2.58645064503651,80.83483547708471,0.05707043269812628
M St & Delaware Ave NE,random_forest,1.7872746541352795,2.577841917373186,84.5937000542298,0.06333686957940832
M St & Delaware Ave NE,hist_gradient_boosting,1.7443311745976304,2.522411117593358,78.80880780739822,0.10318553039174894
M St & Delaware Ave NE,xgboost,1.7584861123800868,2.536896588286445,78.90236897531707,0.09285566722744032
Adams Mill & Columbia Rd NW,ridge,1.8759676974158501,2.658576841388512,83.73712344482453,0.0652067610426812
